timestamp,side,score,threshold,atr_h1,win
2025-07-01 13:49:00+00:00,BUY,0.7023470323954679,0.6564646105241049,27.320579054021387,1.0
2025-07-01 13:49:00+00:00,SELL,0.6891958621037654,0.6554068439090911,27.320579054021387,0.0
2025-07-01 13:50:00+00:00,SELL,0.6821166119463155,0.655671054459917,27.320579054021387,1.0
2025-07-01 13:51:00+00:00,BUY,0.6816553913771284,0.6566790665761822,27.320579054021387,1.0
2025-07-01 13:51:00+00:00,SELL,0.6989822471480831,0.6558727271145957,27.320579054021387,0.0
2025-07-01 13:52:00+00:00,SELL,0.6792423058541003,0.6574237686774124,27.320579054021387,0.0
2025-07-01 14:00:00+00:00,SELL,0.696619531834607,0.6576573361551887,28.01196626444846,0.0
2025-07-01 14:00:00+00:00,BUY,0.685410788641095,0.6571519414145903,28.01196626444846,1.0
2025-07-01 14:01:00+00:00,SELL,0.7344585038020979,0.6585837240954207,28.01196626444846,1.0
2025-07-01 14:01:00+00:00,BUY,0.7018684534967988,0.657256102633489,28.01196626444846,1.0
2025-07-01 14:02:00+00:00,SELL,0.72606235607714,0.6586613419732367,28.01196626444846,1.0
2025-07-01 14:02:00+00:00,BUY,0.7109631591660553,0.6573123657470156,28.01196626444846,1.0
2025-07-01 14:03:00+00:00,SELL,0.705833351365398,0.6597418049293509,28.01196626444846,1.0
2025-07-01 14:03:00+00:00,BUY,0.6907033816431399,0.6574310823302146,28.01196626444846,1.0
2025-07-01 14:04:00+00:00,SELL,0.6969905648952497,0.6608345298413889,28.01196626444846,1.0
2025-07-01 14:04:00+00:00,BUY,0.6851545424050134,0.6577067650303089,28.01196626444846,1.0
2025-07-01 14:05:00+00:00,SELL,0.6884448840751141,0.6610204862077812,28.01196626444846,0.0
2025-07-01 14:05:00+00:00,BUY,0.6721452697614402,0.6581754109342021,28.01196626444846,1.0
2025-07-01 14:06:00+00:00,BUY,0.6738065504966585,0.6584167170334051,28.01196626444846,1.0
2025-07-01 14:06:00+00:00,SELL,0.6908030827697277,0.6613131911627559,28.01196626444846,0.0
2025-07-01 14:07:00+00:00,SELL,0.6925131504613284,0.6616914383352354,28.01196626444846,0.0
2025-07-01 14:07:00+00:00,BUY,0.6724648476582954,0.6587484025027136,28.01196626444846,1.0
2025-07-01 14:08:00+00:00,BUY,0.6868516028850358,0.658781232923832,28.01196626444846,1.0
2025-07-01 14:08:00+00:00,SELL,0.698213035356904,0.6627070085121379,28.01196626444846,0.0
2025-07-01 14:09:00+00:00,BUY,0.7117443927646961,0.6588599138222658,28.01196626444846,0.0
2025-07-01 14:09:00+00:00,SELL,0.7286315815884437,0.6628807618615153,28.01196626444846,1.0
2025-07-01 14:10:00+00:00,BUY,0.6880355626370336,0.6588886607327162,28.01196626444846,1.0
2025-07-01 14:10:00+00:00,SELL,0.7040470967305675,0.6631430393629681,28.01196626444846,0.0
2025-07-01 14:11:00+00:00,SELL,0.7076753629983156,0.6634693101707878,28.01196626444846,1.0
2025-07-01 14:11:00+00:00,BUY,0.7026569288011031,0.6589427137294923,28.01196626444846,0.0
2025-07-01 14:12:00+00:00,SELL,0.7320124825576542,0.6635189637610387,28.01196626444846,1.0
2025-07-01 14:12:00+00:00,BUY,0.7134605978556438,0.6591548839794228,28.01196626444846,0.0
2025-07-01 14:13:00+00:00,BUY,0.6857434433489402,0.6593081608505541,28.01196626444846,1.0
2025-07-01 14:13:00+00:00,SELL,0.6908350616632717,0.6638472071900844,28.01196626444846,0.0
2025-07-01 14:14:00+00:00,SELL,0.6872329906520261,0.6641603898811228,28.01196626444846,0.0
2025-07-01 14:14:00+00:00,BUY,0.6687699209327171,0.6594913918469261,28.01196626444846,1.0
2025-07-01 14:15:00+00:00,BUY,0.6715148723973694,0.6597117388146174,28.01196626444846,1.0
2025-07-01 14:15:00+00:00,SELL,0.6889573687409283,0.6644897211176036,28.01196626444846,1.0
2025-07-01 14:16:00+00:00,SELL,0.6868026811572928,0.6649186069410533,28.01196626444846,1.0
2025-07-01 14:16:00+00:00,BUY,0.6660740930190581,0.6599132606366331,28.01196626444846,0.0
2025-07-01 14:17:00+00:00,BUY,0.6649971895138398,0.6607825105826566,28.01196626444846,0.0
2025-07-01 14:17:00+00:00,SELL,0.6703813923950193,0.6649604615349741,28.01196626444846,1.0
2025-07-01 14:18:00+00:00,BUY,0.6630921257064141,0.6608030716508227,28.01196626444846,0.0
2025-07-02 12:15:00+00:00,SELL,0.7039148573556624,0.6649604615349741,27.892185955178405,1.0
2025-07-02 12:15:00+00:00,BUY,0.73278603866402,0.6594913918469261,27.892185955178405,1.0
2025-07-02 12:16:00+00:00,BUY,0.7371730161976431,0.6597117388146174,27.892185955178405,0.0
2025-07-02 12:16:00+00:00,SELL,0.7287868237845214,0.6650459854900614,27.892185955178405,1.0
2025-07-02 12:17:00+00:00,BUY,0.7504420545643974,0.6599132606366331,27.892185955178405,0.0
2025-07-02 12:17:00+00:00,SELL,0.7354392233164586,0.6652738272076127,27.892185955178405,1.0
2025-07-02 12:18:00+00:00,SELL,0.73710704168814,0.6663636618914318,27.892185955178405,1.0
2025-07-02 12:18:00+00:00,BUY,0.7667909018733345,0.6607825105826566,27.892185955178405,0.0
2025-07-02 12:19:00+00:00,SELL,0.7396148845572321,0.6666176001012618,27.892185955178405,1.0
2025-07-02 12:19:00+00:00,BUY,0.7568549924692995,0.6608030716508227,27.892185955178405,1.0
2025-07-02 12:20:00+00:00,SELL,0.7429180258928099,0.6674158573146165,27.892185955178405,1.0
