hold,side,sum_pips,mean_pips
170,BUY,16581.288417023658,2.8877200308296165
170,SELL,-39382.21494234346,-6.74352995588073
240,BUY,28028.99196403433,4.88139880948003
240,SELL,-51375.842509494396,-8.797233306420273
310,BUY,33333.20405211729,5.805155703956338
310,SELL,-59668.34574122363,-10.217182489935553
