period,side,sum,mean,count
OOS,BUY,1712.35,4.23,405
OOS,SELL,-1002.3,-2.69,373
TRAIN,BUY,15937.46,5.54,2879
TRAIN,SELL,-15352.7,-5.55,2765
VAL,BUY,15442.63,6.2,2490
VAL,SELL,-35256.95,-13.07,2698
